commit_id	ms
0e2f4f14171ccd161e85478c7b1aba61c3b431a2	976
1629a026da17a1e1d8999a02f3fe6b6b60aaac9c	720
1e2cb9bdca0e19298aa7c242a7db4b45427967ea	447
203cbc2da0ef0f68d517ba2a6176df1d48efc2fb	1016
2797f10ea5d2cd963a8e5c80da319848bad9f499	2426
3d65057d7111d7873cf4fad40805cd9ebe327574	862
46e275c407f81c44dd9aad419b6e861d8a936580	5200
4ac0fbd1c1dc0c5f9ac290b635d6eee3783e355b	587
4d1269cb4a9773db128f459046b6c4c2a0926859	2678
61617543268b024e42996e20ff0435b94a893c5d	367
72c66dfdecbcc165c52fcd19d1f8444ad8c011c6	454
7ec97dd26b3af7bb0995eef178c4edd8989c3152	2450
986647be59259125750fd44dbb429658d67dc156	387
a59bc8d2ae218484cdcb1d7e6a295a4ff93225a1	3019
b10874fa67ed77dd6ecbe1fd1f6eb2045ce9854f	463
bce07e53aa681367082ce9f683de366918647cd6	1936
ca0617061e77f8fca502cacd0cced92242b3712e	365
cd0cd1805434dea0d250d195a466a1236b98e502	2437
d23f9d5d4782e5849362895f8b648ed587999706	889
dcbb35226245483930a1f2969927a3b348bb2558	2726
df6d3ce6cf10432b7920d8c3ac0efb7254989bc4	1319
e8c5c49ea2f2cf4fd45eaf81270a6d23546e2c93	1466
fc12b933f729f236b2149872c42961a8626dafb7	764
ff919487e13430098d3da37a37cc04c3f24b59c4	3192
