commit_id	ms
27d9a24d1020685bc723f91ef60d0907df58ec23	1005
6baa290b57d455af7d8c2a2318cd7c0aab6dacfd	305
7e745ce543baecb835173220e7bb51f17b19c875	282
89b0c254ad806c9707fe8f2d3cd78b191b30d2c6	277
8e82c15f1288a0a5c5c886ffd87e7e73dc0103e1	617
99d47a55d769c456ac902f6738f9a90627d7cc8f	544
acc10fac4bd381cbf143f9488ac886ed1475b19a	183
b1c6569407f77d8cb7f27b8548eefee53a5b9634	361
c4e6c3228e9cb8bd37d12756ec9049acc65007e1	354
c6c0d697393b67147923f556a212465f6140d495	633
c9ad6a40fe501919d359b910ea7c7f34532e11d9	464
dd165dfc6878bc9aa6045bc1fc1943640a23e5e8	264
e238a19767c750a49b5f94f8439c25ac04511c80	194
e2e9648b264224af68add35431898dafe26b0a09	264
e5e608eb87f84d4c6ec22b3b4e59338d234904d5	234
fa3b2e4b56aa522de99d8848a0c13ea6fa860541	386
