commit_id	ms
1b66305162e232e8f7ce7a91f31274647a1dd4bb	1036
1dac1e16bfbcc3913e1fea36de0b1d1e8a2b0478	897
2869966d8239365451a92cb044e435c671211786	290
2d5cf8c2380a42a2b2aa2e33ea2d6f4c6140ee8c	879
397540b2acb289a55e4557c8852935eead88b995	256
3e4854b39b17511d9b312071ca93061eeb503f5d	7117
41b7049bceaa059388b8db4ed0b17c1f6a46aa1f	554
466c01fc7e7bc76adf5ad34da125daff43a1b206	525
6054e95d4d1b87c97cd7c090371473ced3dc27b1	352
6ba2f297382478c5ac931fe50c10fbe7c1724452	629
70c0ed39d9fc72ee74492d9e5903aa94319604c7	981
7107751c8e1407aa098882047cdd36e7372c5843	204
76a594983c2e60b44a02b4a500a8075439a7df56	433
7796fb2677b547bec838eeaf4c219ffb00825c49	226
8c03090447af8f3d2841afaf4ada6d2195319c44	1719
90c0ea2cd0415cf71c2310330dd38a36300724fd	590
961edfa683355190e34f297855f7f0c0bdf5507a	5910
96cdbc18b05f1add91c3242be785d0fd2ae7c9ac	649
984094fea06cd2aa120856f0b1c36eaa2d9c4842	513
a423d45bbe36995dd3f372d07b0af0fc8a6f5ba3	241
a537af5fa685f7a6fe4902847a1b12504b749463	399
ad4df1c16a9070582250db941dd97854215bc31f	249
be064e88ca3d64e950aaa1649cb44f7893478158	237
be27408b7f6a940c1804af305eb4f161eca05b5f	224
bfe642ef96437edcfa03bb3bfb3ee34f11247556	343
c451323da71fa0ec5f7505d14f50d92f0c91f824	33
dedcf74c2fb61a9ff7f1a1529f32dbca999cb678	212
e199c9fb70622b8a2b4bf42ff6af22029ada2ea6	454
e1c0cc77c25cb736963c73bb872131d043c00b7d	560
ea0840dccadb92a9fce7bebfe47bbfaf0abd276c	381
f4be182606fe060b10ca0107055a6704d6c208e2	5126
f7ecce35edbdf78972a695209adc0f3b90efebbf	1116
fb840ff0a91144c2a16e6d48f1f0b17b0a2e8157	250
