commit_id	ms
1b66305162e232e8f7ce7a91f31274647a1dd4bb	2481
1dac1e16bfbcc3913e1fea36de0b1d1e8a2b0478	1852
2869966d8239365451a92cb044e435c671211786	577
2d5cf8c2380a42a2b2aa2e33ea2d6f4c6140ee8c	1800
397540b2acb289a55e4557c8852935eead88b995	558
3e4854b39b17511d9b312071ca93061eeb503f5d	16914
41b7049bceaa059388b8db4ed0b17c1f6a46aa1f	1189
466c01fc7e7bc76adf5ad34da125daff43a1b206	1119
6054e95d4d1b87c97cd7c090371473ced3dc27b1	663
6ba2f297382478c5ac931fe50c10fbe7c1724452	1261
70c0ed39d9fc72ee74492d9e5903aa94319604c7	2117
7107751c8e1407aa098882047cdd36e7372c5843	376
76a594983c2e60b44a02b4a500a8075439a7df56	843
7796fb2677b547bec838eeaf4c219ffb00825c49	450
8c03090447af8f3d2841afaf4ada6d2195319c44	3699
90c0ea2cd0415cf71c2310330dd38a36300724fd	1170
961edfa683355190e34f297855f7f0c0bdf5507a	13510
96cdbc18b05f1add91c3242be785d0fd2ae7c9ac	1435
984094fea06cd2aa120856f0b1c36eaa2d9c4842	986
a423d45bbe36995dd3f372d07b0af0fc8a6f5ba3	409
a537af5fa685f7a6fe4902847a1b12504b749463	752
ad4df1c16a9070582250db941dd97854215bc31f	469
be064e88ca3d64e950aaa1649cb44f7893478158	390
be27408b7f6a940c1804af305eb4f161eca05b5f	379
bfe642ef96437edcfa03bb3bfb3ee34f11247556	663
c451323da71fa0ec5f7505d14f50d92f0c91f824	113
dedcf74c2fb61a9ff7f1a1529f32dbca999cb678	366
e199c9fb70622b8a2b4bf42ff6af22029ada2ea6	905
e1c0cc77c25cb736963c73bb872131d043c00b7d	1129
ea0840dccadb92a9fce7bebfe47bbfaf0abd276c	737
f4be182606fe060b10ca0107055a6704d6c208e2	12223
f7ecce35edbdf78972a695209adc0f3b90efebbf	2338
fb840ff0a91144c2a16e6d48f1f0b17b0a2e8157	501
