commit_id	ms
05ef0a6602b686db7716c0e805672eff1b15a28b	997
06863d0203315640e70982e305c632835f8f06f5	661
06f9f78277f8cf0ebe217eccd5e54e163fbc8fdf	2437
14f6f9328bf358b3d953968d29246573d2d05366	332
17eaa5bd6f9f4837c6c22001c30bfd65e5d28496	415
20e89b9009806ca9cec0e464be1937eecf64a46d	715
22e3f995652c8c81e3cc25965d1882834d3ad9dc	3516
25bddd9a23dda6b309804e052232b09637250f42	215
39d8aef3d96c3f744e926f87ee05d67a8e2f58d5	8497
3a17a032c74ad252cef75cddd1155ec8e84a40af	219
48947a46bf7204367dcd3294c93d55e2f36e01eb	199
4ad860ca47071c167281888e984f15ba987355bd	1138
4e074be6a877abbab70d92a0e0920a0118a00212	3051
5241d67deddc9bd101666ec7c4767c02718d26a8	562
552764635e599d47e06f457ebed6aeca1da9cda5	340
56ac7657799f6cf49a3743a779984aedc20cc059	2448
5aab6d2a129a8214ff2d6c22ee7b0b848482a222	853
60731a88bcffa5409dbc2377ab5f33b83d6f713c	297
640011a0bdb4e374c47de9a8431458d4c5e79601	556
643a9f12da263044829f90ea06cbb1d6c1afe91e	1034
6b1bb038d820cbb4a6a066990da12e4c70d6e68d	6972
6f93bd1def8167af18ce84daa06c2547822220b2	1608
72edda6b37cca8e6f112f7d6b06d1ce320c9eb91	282
79cb14afbed0bedcdb1dec278e15a278d7d3d2af	5045
7cad0f5fe1e1bee0d0e2368c6c86923e6ee1dcbc	536
7f2a683e2ca14c3998e8e22c58110aed9b30fdc1	264
8a8db83d298a932ed72157ee0162792d9f592cd9	7271
8dd2402f76e519ccadbd99eef39aef6ca6444966	921
91a4a46ea1d687de1f929e3b9f0bae9c2db0c83d	281
9401f0d572648ad091cfd3f8ac2048db929b549e	1606
969e1b37f0f22097bc984709d6019bba0c310101	217
970d58409fc2a7b7a78bbc7098aef24c38f1f249	2098
9d65f9269982e066de112ccf7e22dfeb2528ba58	900
a212d9f5158e9f9b8022eb88afc1aa77119efda2	1381
a4ffe2c627688f7043891d20db98c4287b6c0817	239
a52b462f557f07d79583792211c289c1c34344ce	205
a9af151df923737f044d98a14ac47f249a39ba79	206
adc5e40fb74ad2f1b4bea172a1214d46d2e6686c	516
afb7d23d045602cd7f9d4b7ae61081c4bcc3b12f	545
b50a52ecf525ab861be648562c952a2f45b6a1e0	460
b5286b941a77a1bdd57abb1ea01385eeaa62f7ea	898
baa6108f0c4b4b4a7f8bbdd1d4a59c0a5a0a50a2	6527
c9777e3fc4b82e08b8af19c32c3ab013076aea48	313
cb77875f3849c6ecb753169d7ecd5193f230e8a4	461
ccc6294018f376faa7a57259f21da93a63e3f3da	266
ce34a60387db1b783915fdeb298c0b9fdf18bce1	3278
cf33eeedbc8a3bcda4115f51032d3f6713336101	271
d2db339087d4a2fffcd56cd9c3c43e5f5cfe3e8e	430
d35987d9292ee836f1442c65e645990cfbf94c83	4524
d4d3df14285e559c92d5294b04be97ebb26517fd	609
df712b6b7a1081245929d2dfb70dc31ec1bf298c	1550
e197f5de3f970cc4ccc5d5b9b359bd21e9387c02	236
e241a6cc646ce03d7255d5f370dca0c2539eeb95	562
e5a4306b633a1b82eb1559ca1d91f62753abcd67	418
e710338a9490adbcfd0519d8dbfe1d3b34cb4ab9	336
e7ad5d2a422720eeae4a407456a5bfcc64755471	1877
ebd84317d8401f718867ae7f78410a6abd6b2c65	4116
ec3341e7adb89889deadc1d3ecd8d8a181b958f1	272
f1939795edc045c213ed6dcc1f43195b65b675a2	1878
f49de5b9ac20ffed0144ad2bbbc249faa2c1fe91	3388
fd63390bf7f54266981f23de9d0628165917a21f	919
